RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Winner,WeightClass,Gender,NumberOfRounds,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWins,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWins,RedAge,BlueAge
Robbie Lawler,Tyron Woodley,-120,100,7/30/16,"Atlanta, Georgia, USA",Blue,Welterweight,MALE,5,2,14,0,5,4,48,4,12,34,34
Miesha Tate,Amanda Nunes,265,-325,7/9/16,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,FEMALE,5,1,10,0,5,2,23,2,5,29,28
Jose Aldo,Frankie Edgar,120,-140,7/9/16,"Las Vegas, Nevada, USA",Red,Featherweight,MALE,5,5,69,7,14,1,31,8,7,29,34
Joanna Jedrzejczyk,Claudia Gadelha,-130,110,7/8/16,"Las Vegas, Nevada, USA",Red,Women's Strawweight,FEMALE,5,1,9,0,2,0,16,3,5,28,27
Andrew Sanchez,Khalil Rountree Jr.,-160,140,7/8/16,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,4,0,0,0,0,0,0,0,0,28,26
Tatiana Suarez,Amanda Cooper,-370,310,7/8/16,"Las Vegas, Nevada, USA",Red,Women's Strawweight,FEMALE,4,0,0,0,0,0,0,0,0,25,24
Rafael Dos Anjos,Eddie Alvarez,-290,245,7/7/16,"Las Vegas, Nevada, USA",Blue,Lightweight,MALE,5,1,9,0,2,5,49,2,14,31,32
Luke Rockhold,Michael Bisping,-750,525,6/4/16,"Los Angeles, California, USA",Blue,Middleweight,MALE,5,7,69,1,18,1,11,1,5,31,37
Dominick Cruz,Urijah Faber,-380,315,6/4/16,"Los Angeles, California, USA",Red,Bantamweight,MALE,5,4,39,3,9,0,16,3,4,31,37
Fabricio Werdum,Stipe Miocic,-185,160,5/14/16,"Curitiba, Parana, Brazil",Blue,Heavyweight,MALE,5,2,26,0,8,2,23,2,8,38,33
Jon Jones,Ovince Saint Preux,-720,510,4/23/16,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,5,2,20,0,7,1,47,9,15,28,33
Demetrious Johnson,Henry Cejudo,-340,280,4/23/16,"Las Vegas, Nevada, USA",Red,Flyweight,MALE,5,0,12,0,4,2,50,9,11,29,29
Holly Holm,Miesha Tate,-300,250,3/5/16,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,FEMALE,5,2,18,1,4,0,8,1,3,34,29
TJ Dillashaw,Dominick Cruz,-155,135,1/17/16,"Boston, Massachusetts, USA",Blue,Bantamweight,MALE,5,0,11,2,3,2,28,4,8,29,30
Robbie Lawler,Carlos Condit,-115,-105,1/2/16,"Las Vegas, Nevada, USA",Red,Welterweight,MALE,5,4,32,2,7,4,43,3,11,33,31
Rafael Dos Anjos,Donald Cerrone,-170,150,12/19/15,"Orlando, Florida, USA",Red,Lightweight,MALE,5,3,38,0,15,5,48,1,13,31,32
Jose Aldo,Conor McGregor,-115,-105,12/12/15,"Las Vegas, Nevada, USA",Blue,Featherweight,MALE,5,0,10,1,6,0,30,7,7,29,27
Chris Weidman,Luke Rockhold,-150,130,12/12/15,"Las Vegas, Nevada, USA",Blue,Middleweight,MALE,5,1,7,0,4,0,20,4,9,31,31
Artem Lobov,Ryan Hall,-165,145,12/11/15,"Las Vegas, Nevada, USA",Blue,Lightweight,MALE,4,0,0,0,0,0,0,0,0,29,30
Erick Montano,Enrique Marin,-230,190,11/21/15,"Monterrey, Nuevo Leon, Mexico",Red,Welterweight,MALE,4,0,0,0,0,0,0,0,0,30,29
Horacio Gutierrez,Enrique Barzola,-210,175,11/21/15,"Monterrey, Nuevo Leon, Mexico",Blue,Lightweight,MALE,4,0,0,0,0,0,0,0,0,25,26
Ronda Rousey,Holly Holm,-750,525,11/14/15,"Melbourne, Victoria, Australia",Blue,Women's Bantamweight,FEMALE,5,0,6,0,2,0,8,6,6,28,34
Joanna Jedrzejczyk,Valerie Letourneau,-1400,925,11/14/15,"Melbourne, Victoria, Australia",Red,Women's Strawweight,FEMALE,5,0,9,0,3,0,11,2,4,28,32
Daniel Cormier,Alexander Gustafsson,-255,215,10/3/15,"Houston, Texas, USA",Red,Light Heavyweight,MALE,5,3,22,1,8,1,18,2,5,36,28
Demetrious Johnson,John Dodson,-560,430,9/5/15,"Las Vegas, Nevada, USA",Red,Flyweight,MALE,5,1,17,2,6,2,45,8,10,29,30
Ronda Rousey,Bethe Correia,-1700,1100,8/1/15,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Women's Bantamweight,FEMALE,5,0,8,0,3,0,7,5,5,28,32
Glaico Franca,Fernando Bruno,-210,175,8/1/15,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,MALE,4,0,0,0,0,0,0,0,0,24,33
Reginaldo Vieira,Dileno Lopes,360,-450,8/1/15,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Bantamweight,MALE,4,0,0,0,0,0,0,0,0,32,30
TJ Dillashaw,Renan Barao,-200,170,7/25/15,"Chicago, Illinois, USA",Red,Bantamweight,MALE,5,1,27,5,8,2,24,3,7,29,28
Kamaru Usman,Hayder Hassan,-240,200,7/12/15,"Las Vegas, Nevada, USA",Red,Welterweight,MALE,4,0,0,0,0,0,0,0,0,28,32
Chad Mendes,Conor McGregor,165,-190,7/11/15,"Las Vegas, Nevada, USA",Blue,Featherweight,MALE,5,0,8,0,5,2,22,2,8,30,26
Robbie Lawler,Rory MacDonald,145,-165,7/11/15,"Las Vegas, Nevada, USA",Red,Welterweight,MALE,5,2,28,0,9,4,38,2,10,33,25
Joanna Jedrzejczyk,Jessica Penne,-900,600,6/20/15,"Berlin, Berlin, Germany",Red,Women's Strawweight,FEMALE,5,0,3,0,1,0,8,1,3,27,32
Cain Velasquez,Fabricio Werdum,-460,365,6/13/15,"Mexico City, Distrito Federal, Mexico",Blue,Heavyweight,MALE,5,2,20,1,7,1,24,5,11,32,37
Anthony Johnson,Daniel Cormier,-120,100,5/23/15,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,MALE,5,1,15,1,4,4,24,0,10,31,36
Chris Weidman,Vitor Belfort,-420,335,5/23/15,"Las Vegas, Nevada, USA",Red,Middleweight,MALE,5,6,29,5,13,0,19,3,8,30,38
Demetrious Johnson,Kyoji Horiguchi,-980,640,4/25/15,"Montreal, Quebec, Canada",Red,Flyweight,MALE,5,0,9,0,4,2,40,7,9,28,24
Anthony Pettis,Rafael Dos Anjos,-450,400,3/14/15,"Dallas, Texas, USA",Blue,Lightweight,MALE,5,5,43,0,12,1,11,2,5,28,30
Carla Esparza,Joanna Jedrzejczyk,-160,140,3/14/15,"Dallas, Texas, USA",Blue,Women's Strawweight,FEMALE,5,0,6,0,2,0,3,1,1,27,27
Ronda Rousey,Cat Zingano,-660,540,2/28/15,"Los Angeles, California, USA",Red,Women's Bantamweight,FEMALE,5,0,6,0,2,0,6,4,4,28,32
Jon Jones,Daniel Cormier,-192,177,1/3/15,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,5,0,10,0,4,1,42,8,14,27,35
Carla Esparza,Rose Namajunas,-110,-110,12/12/14,"Las Vegas, Nevada, USA",Red,Women's Strawweight,FEMALE,5,0,0,0,0,0,0,0,0,27,22
Johny Hendricks,Robbie Lawler,-220,200,12/6/14,"Las Vegas, Nevada, USA",Blue,Welterweight,MALE,5,4,33,1,9,2,34,2,11,31,32
Anthony Pettis,Gilbert Melendez,-315,285,12/6/14,"Las Vegas, Nevada, USA",Red,Lightweight,MALE,5,1,8,1,1,1,9,1,4,27,32
Fabricio Werdum,Mark Hunt,-430,380,11/15/14,"Mexico City, Distrito Federal, Mexico",Red,Heavyweight,MALE,5,3,20,0,5,2,18,0,6,37,40
Yair Rodriguez,Leonardo Morales,-230,210,11/15/14,"Mexico City, Distrito Federal, Mexico",Red,Featherweight,MALE,3,0,0,0,0,0,0,0,0,22,21
Luke Rockhold,Jose Quinonez,215,-235,11/15/14,"Mexico City, Distrito Federal, Mexico",Red,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,25,24
Jose Aldo,Chad Mendes,-200,185,10/25/14,"Rio de Janeiro, Brazil",Red,Featherweight,MALE,5,1,16,1,7,0,25,6,6,28,29
Demetrious Johnson,Chris Cariaso,-1450,1150,9/27/14,"Las Vegas, Nevada, USA",Red,Flyweight,MALE,5,3,29,0,7,2,38,6,8,28,33
TJ Dillashaw,Joe Soto,-1100,900,8/30/14,"Sacramento, California, USA",Red,Bantamweight,MALE,5,0,0,0,0,2,19,2,6,28,27
Ning Guangyou,Jianping Yang,205,-225,8/23/14,"Macau, China",Red,Featherweight,MALE,4,0,0,0,0,0,0,0,0,32,25
Corey Anderson,Matt Van Buren,-265,245,7/6/14,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,4,0,0,0,0,0,0,0,0,24,28
Dhiego Lima,Eddie Gordon,-150,140,7/6/14,"Las Vegas, Nevada, USA",Blue,Middleweight,MALE,4,0,0,0,0,0,0,0,0,25,30
Chris Weidman,Lyoto Machida,-185,170,7/5/14,"Las Vegas, Nevada, USA",Red,Middleweight,MALE,5,4,44,4,13,0,14,2,7,30,36
Ronda Rousey,Alexis Davis,-900,700,7/5/14,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,FEMALE,5,0,9,0,3,0,5,3,3,27,29
Demetrious Johnson,Ali Bagautinov,-690,560,6/14/14,"Vancouver, British Columbia, Canada",Red,Flyweight,MALE,5,0,9,0,3,2,33,5,7,27,29
Vitor Miranda,Antonio Carlos Junior,185,-200,5/31/14,"Sao Paulo, Brazil",Blue,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,35,24
Marcio Alexandre Junior,Warlley Alves,185,-200,5/31/14,"Sao Paulo, Brazil",Blue,Middleweight,MALE,3,0,0,0,0,0,0,0,0,25,23
Renan Barao,TJ Dillashaw,-910,710,5/24/14,"Las Vegas, Nevada, USA",Blue,Bantamweight,MALE,5,2,14,1,5,0,19,4,7,27,28
Jon Jones,Glover Teixeira,-440,390,4/26/14,"Baltimore, Maryland, USA",Red,Light Heavyweight,MALE,5,0,8,0,5,1,37,7,13,26,34
Sheldon Westcott,Elias Theodorou,175,-190,4/16/14,"Quebec City, Quebec, Canada",Blue,Middleweight,MALE,3,0,0,0,0,0,0,0,0,29,25
Chad Laprise,Olivier Aubin-Mercier,145,-155,4/16/14,"Quebec City, Quebec, Canada",Red,Welterweight,MALE,3,0,0,0,0,0,0,0,0,27,25
Johny Hendricks,Robbie Lawler,-365,328,3/15/14,"Dallas, Texas, USA",Red,Welterweight,MALE,5,3,20,0,7,2,29,1,10,30,31
Sai Wang,Zhang Lipeng,-295,265,3/1/14,"Macau, China",Blue,Welterweight,MALE,3,0,0,0,0,0,0,0,0,28,23
Ronda Rousey,Sara McMann,-360,325,2/22/14,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,FEMALE,5,0,1,0,1,0,4,2,2,27,33
Renan Barao,Urijah Faber,-335,305,2/1/14,"Newark, New Jersey, USA",Red,Bantamweight,MALE,5,2,25,2,6,0,18,3,6,27,34
Jose Aldo,Ricardo Lamas,-750,600,2/1/14,"Newark, New Jersey, USA",Red,Featherweight,MALE,5,0,8,0,4,0,20,5,5,27,31
